,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143
KPI,CTR_W0,CTR_W1,CTR_W2,CTR_W3,CTR_W4,CTR_W5,CTR_W6,CTR_W7,CTR_W8,CTR_W9,CTR_W10,CTR_W11,CTR_W12,CTR_W13,CTR_W14,CTR_W15,CTR_W16,CTR_W17,CTR_W18,CTR_W19,CTR_W20,CTR_W21,CTR_W22,CTR_W23,CTR_W24,CTR_W25,CTR_W26,CTR_W27,CTR_W28,CTR_W29,CTR_W30,CTR_W31,CTR_W32,CTR_W33,CTR_W34,CTR_W35,CTR_W36,CTR_W37,CTR_W38,CTR_W39,CTR_W40,CTR_W41,CTR_W42,CTR_W43,CTR_W44,CTR_W45,CTR_W46,CTR_W47,CVR(BF)_W0,CVR(BF)_W1,CVR(BF)_W2,CVR(BF)_W3,CVR(BF)_W4,CVR(BF)_W5,CVR(BF)_W6,CVR(BF)_W7,CVR(BF)_W8,CVR(BF)_W9,CVR(BF)_W10,CVR(BF)_W11,CVR(BF)_W12,CVR(BF)_W13,CVR(BF)_W14,CVR(BF)_W15,CVR(BF)_W16,CVR(BF)_W17,CVR(BF)_W18,CVR(BF)_W19,CVR(BF)_W20,CVR(BF)_W21,CVR(BF)_W22,CVR(BF)_W23,CVR(BF)_W24,CVR(BF)_W25,CVR(BF)_W26,CVR(BF)_W27,CVR(BF)_W28,CVR(BF)_W29,CVR(BF)_W30,CVR(BF)_W31,CVR(BF)_W32,CVR(BF)_W33,CVR(BF)_W34,CVR(BF)_W35,CVR(BF)_W36,CVR(BF)_W37,CVR(BF)_W38,CVR(BF)_W39,CVR(BF)_W40,CVR(BF)_W41,CVR(BF)_W42,CVR(BF)_W43,CVR(BF)_W44,CVR(BF)_W45,CVR(BF)_W46,CVR(BF)_W47,CVR(SV)_W0,CVR(SV)_W1,CVR(SV)_W2,CVR(SV)_W3,CVR(SV)_W4,CVR(SV)_W5,CVR(SV)_W6,CVR(SV)_W7,CVR(SV)_W8,CVR(SV)_W9,CVR(SV)_W10,CVR(SV)_W11,CVR(SV)_W12,CVR(SV)_W13,CVR(SV)_W14,CVR(SV)_W15,CVR(SV)_W16,CVR(SV)_W17,CVR(SV)_W18,CVR(SV)_W19,CVR(SV)_W20,CVR(SV)_W21,CVR(SV)_W22,CVR(SV)_W23,CVR(SV)_W24,CVR(SV)_W25,CVR(SV)_W26,CVR(SV)_W27,CVR(SV)_W28,CVR(SV)_W29,CVR(SV)_W30,CVR(SV)_W31,CVR(SV)_W32,CVR(SV)_W33,CVR(SV)_W34,CVR(SV)_W35,CVR(SV)_W36,CVR(SV)_W37,CVR(SV)_W38,CVR(SV)_W39,CVR(SV)_W40,CVR(SV)_W41,CVR(SV)_W42,CVR(SV)_W43,CVR(SV)_W44,CVR(SV)_W45,CVR(SV)_W46,CVR(SV)_W47
Top correlated variable,"['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['asset_type', 'channel']","['asset_type', 'channel']","['asset_type', 'channel']","['funnel', 'lob']","['asset_type', 'funnel']","['asset_type', 'funnel']","['asset_type', 'funnel']","['asset_type', 'funnel']","['asset_type', 'funnel']","['asset_type', 'funnel']","['funnel', 'asset_type']","['channel', 'asset_type']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['video_type', 'channel']","['kpi_audience', 'creative_versions']","['kpi_audience', 'creative_versions']","['kpi_audience', 'creative_versions']","['kpi_audience', 'creative_versions']","['kpi_audience', 'creative_versions']","['kpi_audience', 'creative_versions']","['kpi_audience', 'creative_versions']","['video_type', 'channel']","['video_type', 'channel']","['video_type', 'channel']","['video_type', 'channel']","['video_type', 'channel']","['video_type', 'channel']","['channel', 'video_type']","['video_type', 'channel']","['channel', 'video_type']","['price_placement', 'offer_placement']","['price_placement', 'offer_placement']","['price_placement', 'offer_placement']","['asset_type', 'channel']","['asset_type', 'funnel']","['asset_type', 'channel']","['video_type', 'channel']","['asset_type', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['video_type', 'channel']","['video_type', 'channel']","['kpi_audience', 'creative_versions']","['kpi_audience', 'creative_versions']","['kpi_audience', 'creative_versions']","['kpi_audience', 'creative_versions']","['kpi_audience', 'creative_versions']","['kpi_audience', 'creative_versions']","['kpi_audience', 'creative_versions']","['length', 'discount']","['length', 'discount']","['length', 'discount']","['length', 'discount']","['length', 'price']","['length', 'discount']","['creative_versions', 'discount']","['offer_placement', 'discount']","['offer_placement', 'length']","['length', 'offer_placement']","['length', 'offer_placement']","['length', 'offer_placement']","['price_placement', 'offer_placement']","['asset_type', 'funnel']","['offer_placement', 'funnel']","['offer_placement', 'funnel']","['offer_placement', 'funnel']","['offer_placement', 'lob']","['offer_placement', 'creative_versions']","['asset_type', 'creative_versions']","['asset_type', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['video_type', 'channel']","['size', 'channel']","['size', 'channel']","['size', 'channel']","['asset_type', 'channel']","['asset_type', 'channel']","['asset_type', 'channel']","['asset_type', 'channel']","['asset_type', 'channel']","['asset_type', 'channel']","['asset_type', 'channel']","['asset_type', 'channel']","['asset_type', 'channel']","['asset_type', 'channel']","['asset_type', 'channel']","['video_type', 'channel']","['lob', 'creative_versions']","['kpi_audience', 'creative_versions']","['kpi_audience', 'creative_versions']","['kpi_audience', 'creative_versions']","['kpi_audience', 'creative_versions']","['kpi_audience', 'creative_versions']","['kpi_audience', 'creative_versions']","['kpi_audience', 'creative_versions']"
