,0
2020-6-8-CTR,335
2020-6-15-CTR,318
2020-6-22-CTR,302
2020-6-29-CTR,381
2020-7-6-CTR,275
2020-7-13-CTR,297
2020-7-20-CTR,301
2020-7-27-CTR,355
2020-8-3-CTR,401
2020-8-10-CTR,368
2020-8-17-CTR,362
2020-8-24-CTR,357
2020-8-31-CTR,403
2020-9-7-CTR,533
2020-9-14-CTR,365
2020-9-21-CTR,318
2020-9-28-CTR,407
2020-10-5-CTR,454
2020-10-12-CTR,234
2020-10-19-CTR,226
2020-10-26-CTR,250
2020-11-2-CTR,209
2020-11-9-CTR,214
2020-11-16-CTR,290
2020-11-23-CTR,226
2020-11-30-CTR,155
2020-12-7-CTR,151
2020-12-14-CTR,152
2020-12-21-CTR,157
2020-12-28-CTR,435
2021-1-4-CTR,257
2021-1-11-CTR,228
2021-1-18-CTR,214
2021-1-25-CTR,251
2021-2-1-CTR,245
2021-2-8-CTR,302
2021-2-15-CTR,277
2021-2-22-CTR,417
2021-3-1-CTR,445
2021-3-8-CTR,372
2021-3-15-CTR,418
2021-3-22-CTR,373
2021-3-29-CTR,859
2021-4-5-CTR,870
2021-4-12-CTR,866
2021-4-19-CTR,920
2021-4-26-CTR,883
2021-5-3-CTR,1017
2021-5-10-CTR,965
2021-5-17-CTR,906
2021-5-24-CTR,1364
2021-5-31-CTR,1334
2021-6-7-CTR,1795
2021-6-14-CTR,1451
2021-6-21-CTR,1473
2021-6-28-CTR,2882
2021-7-5-CTR,2380
2021-7-12-CTR,1599
2021-7-19-CTR,2671
2021-7-26-CTR,2152
2021-8-2-CTR,2216
2021-8-9-CTR,2136
2021-8-16-CTR,2260
2021-8-23-CTR,2300
2021-8-30-CTR,2934
2021-9-6-CTR,2224
2021-9-13-CTR,2195
2021-9-20-CTR,2177
2021-9-27-CTR,2284
2021-10-4-CTR,2367
2021-10-11-CTR,2289
2021-10-18-CTR,2141
2021-10-25-CTR,2127
2021-11-1-CTR,325
2021-11-8-CTR,451
2021-11-15-CTR,447
2021-11-22-CTR,325
2021-11-29-CTR,334
2021-12-6-CTR,2221
2021-12-13-CTR,2200
2021-12-20-CTR,1950
2021-12-27-CTR,2048
2019-12-30-CVR (SV),92
2020-1-6-CVR (SV),127
2020-1-13-CVR (SV),93
2020-1-20-CVR (SV),96
2020-1-27-CVR (SV),273
2020-2-3-CVR (SV),245
2020-2-10-CVR (SV),241
2020-2-17-CVR (SV),220
2020-2-24-CVR (SV),208
2020-3-2-CVR (SV),152
2020-3-9-CVR (SV),138
2020-3-16-CVR (SV),137
2020-4-13-CVR (SV),87
2020-4-20-CVR (SV),109
2020-4-27-CVR (SV),246
2020-5-4-CVR (SV),180
2020-5-11-CVR (SV),176
2020-5-18-CVR (SV),182
