,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1217,0.40%,0.22%,0.27%,0.20%,0.31%,0.42%,0.26%,0.43%,0.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,1.29%,1.69%,0.91%,1.00%,1.15%,1.45%,1.08%,2.68%,1.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,1.70%,1.32%,1.11%,1.07%,1.11%,1.24%,1.18%,1.50%,1.89%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,2.16%,1.04%,1.24%,1.53%,1.37%,1.65%,1.63%,2.23%,1.15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,1.68%,0.69%,1.23%,0.94%,0.56%,0.63%,0.82%,0.77%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,0.67%,0.71%,0.78%,0.83%,0.65%,0.58%,0.65%,1.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1223,2.32%,2.09%,0.50%,0.54%,0.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,0.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,0.95%,0.99%,1.04%,1.04%,1.24%,1.05%,0.94%,1.18%,1.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1226,1.17%,1.24%,1.16%,1.07%,1.08%,1.10%,1.20%,1.33%,1.93%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,1.03%,1.10%,1.03%,0.84%,0.84%,0.73%,0.56%,0.98%,1.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228,0.53%,0.52%,0.62%,0.57%,0.41%,0.57%,0.42%,0.57%,0.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,0.46%,0.62%,0.53%,0.42%,0.31%,0.47%,0.86%,0.53%,0.65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230,1.05%,0.76%,0.77%,1.45%,0.83%,0.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,1.02%,0.77%,0.76%,1.15%,0.61%,1.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,0.00%,1.39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,0.63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,0.76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,0.26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,0.14%,0.44%,0.54%,0.56%,0.37%,0.40%,0.41%,0.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1237,0.63%,0.54%,0.55%,0.65%,0.61%,0.56%,0.57%,0.73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238,0.36%,0.35%,0.37%,0.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1239,0.24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240,0.17%,0.27%,0.24%,0.41%,0.21%,0.25%,0.28%,0.28%,0.26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241,0.34%,0.41%,0.56%,0.33%,0.27%,0.31%,0.24%,0.30%,0.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1242,0.52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243,0.25%,0.19%,0.26%,0.20%,0.14%,0.22%,0.28%,0.17%,0.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
