,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
3747,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.60%,0.00%,0.00%,1.17%,0.00%,0.25%,0.00%,0.78%,0.00%,0.00%,0.00%,0.84%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3748,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.12%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3749,0.00%,1.35%,0.00%,0.00%,0.00%,0.00%,0.70%,0.98%,0.00%,0.76%,0.00%,0.00%,0.00%,0.53%,1.01%,0.66%,0.73%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3750,0.00%,0.35%,0.00%,0.00%,0.43%,0.00%,0.00%,0.00%,0.41%,0.21%,0.22%,0.00%,0.66%,0.34%,0.11%,0.14%,0.00%,0.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3751,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.54%,0.00%,0.00%,1.34%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3752,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.22%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3753,0.00%,0.00%,0.00%,0.53%,0.52%,0.00%,0.00%,0.00%,0.00%,0.00%,0.52%,0.00%,0.00%,0.23%,0.55%,0.00%,0.52%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3754,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.27%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3755,0.00%,0.00%,0.00%,1.71%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3756,0.00%,0.52%,0.00%,0.00%,0.00%,0.25%,0.27%,0.29%,0.29%,0.47%,0.00%,0.00%,0.00%,0.00%,0.30%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
