,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
26,$1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,$1 ,$2 ,$1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,$8 ,$14 ,$8 ,$6 ,$6 ,$2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,$2 ,$1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,$7 ,$12 ,$9 ,$8 ,$7 ,$2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,$2 ,$4 ,$2 ,$2 ,$1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,$48 ,$56 ,$50 ,$55 ,$26 ,$7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,$45 ,$59 ,$65 ,$65 ,$37 ,$7 ,$2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"$4,061 ","$18,977 ","$18,736 ","$18,606 ","$17,742 ","$18,050 ","$18,657 ","$18,748 ","$19,202 ","$11,654 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"$1,860 ","$11,471 ","$17,207 ","$16,830 ","$10,431 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,$488 ,"$5,351 ","$13,293 ","$14,678 ","$14,669 ","$14,627 ","$14,592 ","$14,680 ","$14,895 ","$8,674 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"$3,912 ","$4,050 ","$4,054 ","$3,796 ","$2,547 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,$115 ,"$3,879 ","$3,852 ","$3,874 ","$3,380 ","$3,225 ","$3,235 ","$3,458 ","$3,314 ","$1,906 ","$1,360 ","$1,380 ","$1,349 ","$1,379 ","$1,010 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,$102 ,$53 ,$2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
